Kleborate v3.1.3
strain	species	N50	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes
PCMP_H3_contigs_l1000	Klebsiella pneumoniae	270194	ST258	2	2	7	12
PCMP_H400_contigs_l1000	Klebsiella pneumoniae	262758	ST258	2	2	6	8
PCMP_H401_contigs_l1000	Klebsiella pneumoniae	323239	ST258	0	2	3	2
PCMP_H402_contigs_l1000	Klebsiella pneumoniae	234019	ST258	2	2	8	16
PCMP_H403_contigs_l1000	Klebsiella pneumoniae	175727	ST418	0	2	3	2
PCMP_H404_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	13
PCMP_H405_contigs_l1000	Klebsiella pneumoniae	225290	ST258	0	2	4	4
PCMP_H406_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	7	9
PCMP_H407_contigs_l1000	Klebsiella pneumoniae	270872	ST258	0	2	4	3
PCMP_H408_contigs_l1000	Klebsiella pneumoniae	323239	ST258	0	2	3	2
PCMP_H409_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	16
PCMP_H40_contigs_l1000	Klebsiella pneumoniae	240541	ST258	2	2	7	9
PCMP_H410_contigs_l1000	Klebsiella pneumoniae	216140	ST258	2	2	5	4
PCMP_H411_contigs_l1000	Klebsiella pneumoniae	171978	ST258	2	2	8	16
PCMP_H412_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	7	8
PCMP_H413_contigs_l1000	Klebsiella pneumoniae	270819	ST258	2	2	5	5
PCMP_H414_contigs_l1000	Klebsiella pneumoniae	182180	ST258	0	2	9	15
PCMP_H415_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H416_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H417_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	14
PCMP_H418_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	15
PCMP_H41_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	7
PCMP_H420_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	5	4
PCMP_H421_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	9
PCMP_H422_contigs_l1000	Klebsiella pneumoniae	225024	ST258	5	2	7	8
PCMP_H423_contigs_l1000	Klebsiella pneumoniae	262751	ST258	2	2	6	7
PCMP_H424_contigs_l1000	Klebsiella pneumoniae	224658	ST258	0	2	4	3
PCMP_H425_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	4	3
PCMP_H426_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	3	2
PCMP_H427_contigs_l1000	Klebsiella pneumoniae	237758	ST258	0	2	7	12
PCMP_H428_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H429_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	9	15
PCMP_H42_contigs_l1000	Klebsiella pneumoniae	270467	ST258	2	3	8	8
PCMP_H430_contigs_l1000	Klebsiella pneumoniae	260246	ST258	0	2	3	2
PCMP_H431_contigs_l1000	Klebsiella pneumoniae	219996	ST258	0	2	5	5
PCMP_H432_contigs_l1000	Klebsiella pneumoniae	269763	ST258	2	2	4	3
PCMP_H433_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	5	4
PCMP_H434_contigs_l1000	Klebsiella pneumoniae	269763	ST258	2	3	5	3
PCMP_H436_contigs_l1000	Klebsiella pneumoniae	225025	ST258	5	2	7	8
PCMP_H437_contigs_l1000	Klebsiella pneumoniae	210968	ST258	2	2	8	11
PCMP_H438_contigs_l1000	Klebsiella pneumoniae	219121	ST258	2	2	8	13
PCMP_H439_contigs_l1000	Klebsiella pneumoniae	225365	ST258	2	3	8	8
PCMP_H43_contigs_l1000	Klebsiella pneumoniae	270193	ST258	0	2	5	5
PCMP_H440_contigs_l1000	Klebsiella pneumoniae	262757	ST258	0	2	5	5
PCMP_H441_contigs_l1000	Klebsiella pneumoniae	215169	ST258	2	2	8	16
PCMP_H442_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H443_contigs_l1000	Klebsiella pneumoniae	212491	ST258	2	3	5	3
PCMP_H444_contigs_l1000	Klebsiella pneumoniae	271294	ST258	2	2	8	10
PCMP_H445_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	8	13
PCMP_H446_contigs_l1000	Klebsiella pneumoniae	270799	ST258	0	2	9	15
PCMP_H447_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	8	13
PCMP_H448_contigs_l1000	Klebsiella pneumoniae	216764	ST258	0	2	5	6
PCMP_H44_contigs_l1000	Klebsiella pneumoniae	219120	ST258	0	3	8	10
PCMP_H450_contigs_l1000	Klebsiella pneumoniae	52416	ST258	0	1	9	15
PCMP_H453_contigs_l1000	Klebsiella pneumoniae	224350	ST258	2	2	7	11
PCMP_H454_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	7	8
PCMP_H455_contigs_l1000	Klebsiella pneumoniae	224716	ST258	0	2	7	8
PCMP_H456_contigs_l1000	Klebsiella pneumoniae	232140	ST258	0	2	5	5
PCMP_H457_contigs_l1000	Klebsiella pneumoniae	220241	ST258	2	2	8	13
PCMP_H458_contigs_l1000	Klebsiella pneumoniae	209355	ST258	2	3	8	9
PCMP_H459_contigs_l1000	Klebsiella pneumoniae	237758	ST258	0	2	8	13
PCMP_H45_contigs_l1000	Klebsiella pneumoniae	206953	ST15	1	2	7	12
PCMP_H460_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	7	11
PCMP_H461_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	7	11
PCMP_H462_contigs_l1000	Klebsiella pneumoniae	323239	ST258	0	2	4	3
PCMP_H463_contigs_l1000	Klebsiella pneumoniae	207052	ST15	2	2	7	12
PCMP_H464_contigs_l1000	Klebsiella pneumoniae	328952	ST258	0	2	3	2
PCMP_H465_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	7	8
PCMP_H466_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	7	12
PCMP_H467_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	8	14
PCMP_H468_contigs_l1000	Klebsiella pneumoniae	270193	ST258	2	3	8	9
PCMP_H469_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	3	2
PCMP_H46_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	9	15
PCMP_H470_contigs_l1000	Klebsiella pneumoniae	220206	ST258	0	2	6	11
PCMP_H471_contigs_l1000	Klebsiella pneumoniae	156285	ST258	0	2	7	9
PCMP_H473_contigs_l1000	Klebsiella pneumoniae	213416	ST258	2	2	6	7
PCMP_H474_contigs_l1000	Klebsiella pneumoniae	270193	ST258	2	3	7	7
PCMP_H475_contigs_l1000	Klebsiella pneumoniae	211283	ST258	2	2	4	3
PCMP_H477_contigs_l1000	Klebsiella pneumoniae	238326	ST258	0	2	5	5
PCMP_H478_contigs_l1000	Klebsiella pneumoniae	171976	ST258	2	2	8	15
PCMP_H479_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	7	11
PCMP_H480_contigs_l1000	Klebsiella pneumoniae	264240	ST258	2	3	8	8
PCMP_H481_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	15
PCMP_H482_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	9	13
PCMP_H48_contigs_l1000	Klebsiella pneumoniae	194956	ST258	0	2	8	14
PCMP_H49_contigs_l1000	Klebsiella pneumoniae	269763	ST258	2	2	7	9
PCMP_H4_contigs_l1000	Klebsiella pneumoniae	197191	ST258	2	2	8	15
PCMP_H50_contigs_l1000	Klebsiella pneumoniae	240934	ST307	0	2	8	10
PCMP_H52_contigs_l1000	Klebsiella pneumoniae	224658	ST258	0	2	7	9
PCMP_H53_contigs_l1000	Klebsiella pneumoniae	261181	ST307	0	2	8	10
PCMP_H54_contigs_l1000	Klebsiella pneumoniae	220208	ST258	0	2	4	3
PCMP_H55_contigs_l1000	Klebsiella pneumoniae	250859	ST307	0	2	7	10
PCMP_H56_contigs_l1000	Klebsiella pneumoniae	248279	ST258	0	2	5	5
PCMP_H57_contigs_l1000	Klebsiella pneumoniae	250859	ST307	0	2	5	4
PCMP_H58_contigs_l1000	Klebsiella pneumoniae	250995	ST307	0	2	5	4
PCMP_H59_contigs_l1000	Klebsiella pneumoniae	270193	ST258	2	2	7	9
PCMP_H5_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	4	3
PCMP_H60_contigs_l1000	Klebsiella pneumoniae	248279	ST258	2	2	7	9
PCMP_H61_contigs_l1000	Klebsiella pneumoniae	203922	ST258	2	2	7	9
PCMP_H65_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	7	13
PCMP_H66_contigs_l1000	Klebsiella pneumoniae	203931	ST258	0	2	8	13
PCMP_H68_contigs_l1000	Klebsiella pneumoniae	225700	ST258	2	3	5	4
PCMP_H69_contigs_l1000	Klebsiella pneumoniae	270412	ST258	0	2	3	2
PCMP_H70_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	15
PCMP_H71_contigs_l1000	Klebsiella pneumoniae	253189	ST258	2	2	6	9
PCMP_H72_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	13
PCMP_H73_contigs_l1000	Klebsiella pneumoniae	270412	ST258	0	2	4	4
PCMP_H74_contigs_l1000	Klebsiella pneumoniae	328522	ST258	0	2	3	2
PCMP_H75_contigs_l1000	Klebsiella pneumoniae	234015	ST258	0	2	7	12
PCMP_H76_contigs_l1000	Klebsiella pneumoniae	270194	ST258	0	2	6	9
PCMP_H77_contigs_l1000	Klebsiella pneumoniae	191344	ST258	2	3	5	4
PCMP_H78_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	3	2
PCMP_H79_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	7	11
PCMP_H7_contigs_l1000	Klebsiella pneumoniae	225025	ST258	2	2	5	4
PCMP_H81_contigs_l1000	Klebsiella pneumoniae	208944	ST258	0	2	9	15
PCMP_H82_contigs_l1000	Klebsiella pneumoniae	231374	ST258	0	2	6	11
PCMP_H83_contigs_l1000	Klebsiella pneumoniae	139924	ST258	2	3	8	9
PCMP_H84_contigs_l1000	Klebsiella pneumoniae	283055	ST258	0	2	4	3
PCMP_H85_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	7	12
PCMP_H86_contigs_l1000	Klebsiella pneumoniae	213660	ST258	2	3	8	9
PCMP_H87_contigs_l1000	Klebsiella pneumoniae	328522	ST258	0	2	3	2
PCMP_H88_contigs_l1000	Klebsiella pneumoniae	233191	ST258	0	2	3	2
PCMP_H89_contigs_l1000	Klebsiella pneumoniae	234250	ST258	2	2	7	12
PCMP_H8_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	3	2
PCMP_H90_contigs_l1000	Klebsiella pneumoniae	270194	ST258	0	2	7	7
PCMP_H91_contigs_l1000	Klebsiella pneumoniae	248279	ST258	2	2	7	12
PCMP_H93_contigs_l1000	Klebsiella pneumoniae	220889	ST258	0	2	3	2
PCMP_H94_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	7	11
PCMP_H95_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	4	3
PCMP_H96_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H97_contigs_l1000	Klebsiella pneumoniae	271294	ST258	0	2	4	4
PCMP_H98_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	9	11
PCMP_H99_contigs_l1000	Klebsiella pneumoniae	270193	ST258	2	3	8	9
PCMP_H9_contigs_l1000	Klebsiella pneumoniae	262750	ST258	2	2	6	8
